datno	setno	division	subdivision	calage	calspan	calsigI	calsigD	calsigC	calseqno	c14age	c14sig	c14addsig	c14mulsig	ReservoirAge	ReservoirSig	labid	Date_Modified
7498	20	1	0	30698.0	10	157	0	0.0	285	28600	190	0	1.00	430	200	NSRL-13131	2012-12-21
7499	20	1	0	30956.0	10	163	0	0.0	286	28480	230	0	1.00	430	200	UCIAMS-3464	2012-12-21
7500	20	1	0	31233.0	10	172	0	0.0	287	28400	180	0	1.00	430	200	NSRL-13132	2012-12-21
7501	20	1	0	31464.0	10	178	0	0.0	288	28500	270	0	1.00	430	200	CAMS-56903	2012-12-21
7502	20	1	0	31580.0	10	180	0	0.0	289	29010	140	0	1.00	430	200	UCIAMS-2545	2012-12-21
7503	20	1	0	31698.0	10	181	0	0.0	290	27900	220	0	1.00	430	200	NSRL-13133	2012-12-21
7504	20	1	0	31757.0	10	181	0	0.0	291	28950	110	0	1.00	430	200	CAMS-52761	2012-12-21
7505	20	1	0	31815.0	10	180	0	0.0	292	28710	130	0	1.00	430	200	UCIAMS-2546	2012-12-21
7506	20	1	0	31991.0	10	177	0	0.0	293	28700	160	0	1.00	430	200	NSRL-13134	2012-12-21
7507	20	1	0	31991.0	10	177	0	0.0	294	29070	160	0	1.00	430	200	CAMS-59640	2012-12-21
7508	20	1	0	32278.0	10	168	0	0.0	295	29070	110	0	1.00	430	200	CAMS-56904	2012-12-21
7509	20	1	0	32335.0	10	167	0	0.0	296	28900	170	0	1.00	430	200	NSRL-13135	2012-12-21
7510	20	1	0	32557.0	10	160	0	0.0	297	28990	80	0	1.00	430	200	CAMS-59641	2012-12-21
7511	20	1	0	32770.0	10	158	0	0.0	298	29000	230	0	1.00	430	200	NSRL-13136	2012-12-21
7512	20	1	0	32822.0	10	159	0	0.0	299	29280	110	0	1.00	430	200	CAMS-56905	2012-12-21
7513	20	1	0	33023.0	10	163	0	0.0	300	29390	80	0	1.00	430	200	CAMS-59642	2012-12-21
7514	20	1	0	33262.0	10	175	0	0.0	301	29590	240	0	1.00	430	200	CAMS-56906	2012-12-21
7515	20	1	0	33483.0	10	191	0	0.0	302	29410	110	0	1.00	430	200	CAMS-59643	2012-12-21
7516	20	1	0	33687.0	10	210	0	0.0	303	29680	110	0	1.00	430	200	CAMS-56907	2012-12-21
7517	20	1	0	33836.0	10	225	0	0.0	304	29690	170	0	1.00	430	200	CAMS-59644	2012-12-21
7518	20	1	0	34002.0	10	239	0	0.0	305	29450	120	0	1.00	430	200	CAMS-52762	2012-12-21
7519	20	1	0	34002.0	10	239	0	0.0	306	29490	90	0	1.00	430	200	UCIAMS-21712	2012-12-21
7520	20	1	0	34269.0	10	249	0	0.0	307	29940	150	0	1.00	430	200	UCIAMS-2525	2012-12-21
7521	20	1	0	34357.0	10	253	0	0.0	308	30030	160	0	1.00	430	200	UCIAMS-2526	2012-12-21
7522	20	1	0	34550.0	10	273	0	0.0	309	30030	210	0	1.00	430	200	NSRL-12287	2012-12-21
7523	20	1	0	34709.0	10	296	0	0.0	310	30530	170	0	1.00	430	200	UCIAMS-2527	2012-12-21
7524	20	1	0	34883.0	10	306	0	0.0	311	30800	170	0	1.00	430	200	UCIAMS-2528	2012-12-21
7525	20	1	0	34968.0	10	305	0	0.0	312	30900	320	0	1.00	430	200	CAMS-53794	2012-12-21
