setno calage c14age c14sig calsig
9 12192.0 10346 47 45
9 12183.0 10404 42 45
9 12181.0 10455 100 45
9 12152.0 10100 105 45
9 12121.0 10366 46 45
9 12077.0 10433 74 46
9 12019.0 10329 42 45
9 11980.0 10285 42 45
9 11939.0 10211 40 44
9 11900.0 10249 42 43
9 11895.0 10211 57 43
9 11863.0 10165 95 43
9 11825.0 10202 45 42
9 11814.0 10324 40 41
9 11793.0 10110 77 41
9 11776.0 10178 45 41
9 11768.0 10285 85 41
9 11735.0 10034 50 41
9 11735.0 10056 49 41
9 11699.0 10065 38 40
9 11681.0 10095 100 40
9 11665.0 9992 64 40
9 11664.0 10112 40 40
9 11654.0 10120 39 40
9 11653.0 10145 95 40
9 11632.0 10014 45 39
9 11603.0 10055 100 38
9 11582.0 10095 125 38
9 11573.0 10124 50 37
9 11571.0 10054 75 37
9 11557.0 10125 95 37
9 11552.0 9962 93 38
9 11539.0 10280 87 37
9 11531.0 9860 95 37
9 11514.0 9941 56 36
9 11506.0 9963 77 36
9 11475.0 10080 55 35
9 11475.0 10094 41 35
9 11452.0 10005 95 33
9 11392.0 10075 85 30
9 11346.0 9966 54 27
9 11291.0 10027 84 21
9 11271.0 9884 50 19
9 11271.0 9872 49 19
9 11217.0 9817 50 14
9 11211.0 9755 44 13
9 11110.0 9672 40 15
9 11110.0 9678 39 15
9 11108.0 9642 42 15
9 11058.0 9554 46 17
9 11001.0 9495 90 20
9 10996.0 9600 38 20
9 10925.0 9699 38 18
9 10913.0 9555 105 19
9 10892.0 9598 43 20
9 10859.0 9625 100 21
9 10837.0 9550 50 21
9 10834.0 9405 80 21
9 10812.0 9549 43 21
9 10808.0 9356 59 21
9 10757.0 9547 39 21
9 10756.0 9320 90 21
9 10728.0 9525 90 21
9 10673.0 9535 80 21
9 10670.0 9460 37 21
9 10616.0 9635 100 20
9 10606.0 9442 45 20
9 10513.0 9260 180 21
9 10480.0 9235 52 22
9 10445.0 9334 42 22
9 10445.0 9270 115 22
9 10408.0 9150 115 24
9 10357.0 9286 37 27
9 10325.0 9280 115 25
9 10276.0 9137 40 22
9 10273.0 9161 38 22
9 10229.0 9071 72 19
9 10225.0 9024 39 19
9 10118.0 8874 46 24
9 10004.0 8946 43 29
9 9998.0 8951 38 29
9 9994.0 8870 47 29
9 9978.0 8512 71 29
9 9784.0 8751 43 25
9 9780.0 8845 41 25
9 9744.0 8825 38 24
9 9707.0 8774 46 23
9 9545.0 8563 40 17
9 9468.0 8439 38 15
9 9468.0 8422 40 15
9 9336.0 8362 37 18
9 9300.0 8406 47 19
9 9190.0 8306 42 24
9 9119.0 8158 38 22
9 9006.0 8096 39 19
9 8875.0 8081 35 25
9 8791.0 8107 39 26
9 8592.0 7766 41 23
9 8540.0 7739 41 24
9 8540.0 7781 38 24
9 8520.0 7775 35 25
9 8321.0 7407 38 15
9 8303.0 7375 36 14
9 8230.0 7503 41 11
9 8221.0 7500 35 11
9 8166.0 7334 37 15
9 8117.0 7345 41 19
9 8067.0 7284 37 20
9 8067.0 7269 38 20
9 7970.0 7120 48 21
9 7947.0 7171 34 23
9 7845.0 6951 39 29
9 7810.0 7091 35 30
9 7709.0 6956 40 23
9 7581.0 6650 39 22
9 7505.0 6630 34 19
9 7505.0 6715 47 19
9 7468.0 6477 34 21
9 7435.0 6558 37 22
9 7151.0 6216 35 37
9 6959.0 6096 35 28
9 6820.0 6035 40 27
9 6605.0 5783 38 26
9 6511.0 5717 31 24
9 6292.0 5500 34 14
9 6292.0 5458 35 14
9 6292.0 5465 35 14
9 6153.0 5320 38 22
9 6101.0 5332 33 24
9 5971.0 5230 38 21
9 5809.0 5048 38 21
9 5736.0 4962 35 16
9 5660.0 4974 35 14
9 5599.0 4862 30 10
9 5497.0 4883 38 11
9 5438.0 4848 35 13
9 5402.0 4729 39 14
9 5359.0 4773 37 13
9 5309.0 4655 34 16
9 5161.0 4595 38 16
9 4985.0 4486 35 15
9 4915.0 4388 29 17
9 4806.0 4136 34 13
9 4793.0 4166 37 14
9 4741.0 4211 28 15
9 4688.0 4241 37 23
9 4611.0 4235 37 26
9 4524.0 4009 28 25
9 4492.0 4041 37 26
9 4362.0 3895 29 25
9 4362.0 3923 30 25
9 4336.0 3906 31 24
9 4336.0 3982 36 24
